Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Giddens A.","",[No title available],1984,"The Constitution of Society",,,,"","",,5589,,,,"Giddens, A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0004233718
"Preparata F.P., Shamos M.I.","",[No title available],1985,"Computational Geometry: An Introduction",,,,"","",,5186,,,,"Preparata, F.P.; Shamos, M.I.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003487647
"Bishop Y.M.M., Fienberg S.E., Holland P.W.","",[No title available],1975,"Discrete Multivariate Analysis: Theory and Practice",,,,"","",,5167,,,,"Bishop, Y.M.M.; Fienberg, S.E.; Holland, P.W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003756375
"Burden R.L., Faires J.D.","",[No title available],1993,"Numerical Analysis",,,,"","",,5049,,,,"Burden, R.L.; Faires, J.D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0004045887
"Journel A.G., Huijbregts C.J.","",[No title available],1978,"Mining Geostatistics",,,,"","",,5018,,,,"Journel, A.G.; Huijbregts, C.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0004272311
"Rosenfeld A., Kak A.C.","",[No title available],1982,"Digital Picture Processing",,,,"","",,4798,,,,"Rosenfeld, A.; Kak, A.C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0003645230
"Fisher R.A.","",[No title available],1935,"The Design of Experiments",,,,"","",,4788,,,,"Fisher, R.A.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0004245434
"Goovaerts P.","57208763775;","Geostatistics for natural reources evaluation",1997,"Geostatistics for natural resources evaluation",,,,"","",483,4717,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17944394120&partnerID=40&md5=8f7b3d2375c6dea559a59de1d433fc67",,"Goovaerts, P.","The main text of this book is divided into seven chapters, covering the most important areas of geostatistical methodology: exploratory data analysis; the random function model; inference and modelling; local estimation - accounting for a single attribute; local estimation - accounting for secondary information; assessment of local uncertainty; and assessment of spatial uncertainty. The presentation follows the typical steps of geostatistical analysis, introducing tools for description, quantitative modelling of spatial continuity, spatial prediction and uncertainty assessment. This book uses the notation of the GSLIB guidebook, and the various tools are illustrated using a multivariate soil data set related to heavy metal pollution of a region in the Swiss Jura.",,"data analysis; geostatistics; methodology; natural resources; resources assessment; statistical method",,,,,,,,,,,,,,,,,,,,"Oxford University Press; Applied Geostatistics Series",,,,,,0195115384,,,"English",,Book,"Final","",Scopus,2-s2.0-17944394120
"Scheffé H.","",[No title available],1959,"The Analysis of Variance",,,,"","",,4594,,,,"Scheffé, H.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0004176755
"Lynch K.","",[No title available],2001,"The Image of the City",,,,"","",,4586,,,,"Lynch, K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0004055081
"Tobler W.R.","","A computer movie simulating urban growth in the Detroit region",1970,"Economic Geography","46","2",,"234","240",,4444,,,,"Tobler, W.R.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0000565591
"May R.M.","36907591600;","Simple mathematical models with very complicated dynamics",1976,"Nature","261","5560",,"459","467",,4334,"10.1038/261459a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017185443&doi=10.1038%2f261459a0&partnerID=40&md5=b9e052351a50539d216e295b8fc0ffa4","King's College Research Centre, Cambridge CB2 1ST; Biology Department, Princeton University, Princeton 08540","May, R.M., King's College Research Centre, Cambridge CB2 1ST, Biology Department, Princeton University, Princeton 08540","First-order difference equations arise in many contexts in the biological, economic and social sciences. Such equations, even though simple and deterministic, can exhibit a surprising array of dynamical behaviour, from stable points, to a bifurcating hierarchy of stable cycles, to apparently random fluctuations. There are consequently many fascinating problems, some concerned with delicate mathematical aspects of the fine structure of the trajectories, and some concerned with the practical implications and applications. This is an interpretive review of them. © 1976 Nature Publishing Group.",,"mathematical model; model; theoretical study; Diffusion; Mathematics; Models, Theoretical; Population Dynamics; Support, U.S. Gov't, Non-P.H.S.",,,,,,,,,,,,,,,,"May, R.M., Oster, G.F., Am. Nat., p. 110; Varley, G.C., Gradwell, G.R., Hassell, M.P., (1973) Insect Population Ecology, , Blackwell, Oxford; May, R.M., (1976) Theoretical Ecology: Principles and Applications, , Blackwell, Oxford; Guckenheimer, J., Oster, G.F., Ipaktchi, A., Theor. Pop. Biol.; Oster, G.F., Ipaktchi, A., Rocklin, I., Theor. Pop. Biol.; Asmussen, M.A., Feldman, M.W., J. theor. Biol.; Hoppensteadt, F.C., (1975) Mathematical Theories of Populations: Demographics, Genetics and Epidemics, , SIAM, Philadelphia; Samuelson, P.A., (1947) Foundations of Economic Analysis, , Harvard University Press, Cambridge, Massachusetts; Goodwin, R.E., (1951) Econometrica, 19, pp. 1-17; Baumol, W.J., (1970) Economic Dynamics, , 3rd ed. (Macmillan, New York; See for example Kemeny, J., Snell, J.L., (1972) Mathematical Models in the Social Sciences, , MIT Press, Cambridge, Massachusetts; Chaundy, T.W., Phillips, E., (1936) Q. Jl Math. Oxford, 7, pp. 74-80; Myrberg, P.J., (1963) Ann. Akad. Sc. Fennicae, A, , I, No. 336/3; Myrberg, P.J., (1958) Ann. Akad. Sc. Fennicae, A, , I, No. 259; Lorenz, E.N., (1963) J. Atmos. Sci., 20, pp. 130-141. , Tellus, 16, 1-11 (1964; Metropolis, N., Stein, M.L., Stein, P.R., (1973) J. Combinatorial Theory, 15, pp. 25-44; Maynard Smith, J., (1968) Mathematical Ideas in Biology, , Cambridge University Press, Cambridge; Krebs, C.J., (1972) Ecology, , Harper and Row, New York; May, R.M., (1972) Am. Nat., 107, pp. 46-57; Li, T.-Y., Yorke, J.A., (1975) Am. Math. Monthly, 82, pp. 985-992; Hoppensteadt, F.C., Hyman, J.M., (1975), Courant Institute, New York University: Preprint; Smale, S., Williams, R., (1976), Department of Mathematics, Berkeley: Preprint; May, R.M., (1974) Science, 186, pp. 645-647; Moran, P.A.P., (1950) Biometrics, 6, pp. 250-258; Ricker, W.E., (1954) J. Fish. Res. Bd. Can., 11, pp. 559-623; Cook, L.M., (1965) Nature, 207, p. 316; Macfadyen, A., (1963) Animal Ecology: Aims and Methods, , Pitman, London; May, R.M., (1975) J. theor. Biol., 51, pp. 511-524; Guckenheimer, J., (1970) Proc. AMS Symposia in Pure Math., XIV, pp. 95-124; Gilbert, E.N., Riordan, J., (1961) Illinois J. Math., 5, pp. 657-667; Preston, C.J., (1976), King's College, Cambridge: Preprint; Gumowski, I., Mira, C., (1975) C. r. hebd. Séanc. Acad. Sci., Paris, 281, pp. 45-48. , 282a, 219-222 (1976; Layzer, D., (1975) Sci. Am., 233 (6), pp. 56-69; Ulam, S.M., (1950) Proc. Int. Congr. Math. 1950, Cambridge, Mass.; Vol. II, pp. 264-273. , AMS, Providence R. I; Ulam, S.M., von Neumann, J., (1947) Bull. Am. math. Soc., 53, p. 1120; Kac, M., (1946) Ann. Math., 47, pp. 33-49; May, R.M., (1973) Science, 181, p. 1074; Hassell, M.P., (1974) J. Anim. Ecol., 44, pp. 283-296; Hassell, M.P., Lawton, J.H., May, R.M., J. Anim. Ecol.; Ruelle, D., Takens, F., (1971) Comm. math. Phys., 20, pp. 167-192; Landau, L.D., Lifshitz, E.M., (1959) Fluid Mechanics, , Pergamon, London; Martin, P.C., Proc. Int. Conf. on Statistical Physics, 1975, Budapest, , Hungarian Acad. Sci., Budapest, in the press; Southwood, T.R.E., (1975) Insects, Science and Society, pp. 151-199. , edit. by Pimentel, D.), (Academic, New York; Metropolis, N., Stein, M.L., Stein, P.R., (1967) Numer. Math., 10, pp. 1-19; Gumowski, I., Mira, C., (1969) Automatica, 5, pp. 303-317; Stein, P.R., Ulam, S.M., (1964) Rosprawy Mat., 39, pp. 1-66; Beddington, J.R., Free, C.A., Lawton, J.H., (1975) Nature, 255, pp. 58-60; Hirsch, M.W., Smale, S., (1974) Differential Equations, Dynamical Systems and Linear Algebra, , Academic, New York; Kolata, G.B., (1975) Science, 189, pp. 984-985; Smale, S., (1976), Department of Mathematics, Berkeley: Preprint; May, R.M., Leonard, W.J., (1975) SIAM J. Appl. Math., 29, pp. 243-253","May, R.M.; King's College Research Centre, Cambridge CB2 1ST",,,,,,,,00280836,,,"934280","English",,Article,"Final","",Scopus,2-s2.0-0017185443
"Dantzig G.B.","",[No title available],1963,"Linear Programming and Extensions",,,,"","",,4058,,,,"Dantzig, G.B.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003909736
"Huffman D.A.","24736122300;","A Method for the Construction of Minimum-Redundancy Codes",1952,"Proceedings of the IRE","40","9",,"1098","1101",,3875,"10.1109/JRPROC.1952.273898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938015047&doi=10.1109%2fJRPROC.1952.273898&partnerID=40&md5=ddf090dc1330965475fe501ca04e7bbb","Massachusetts Institute of Technology, Cambridge, Mass., United States","Huffman, D.A., Massachusetts Institute of Technology, Cambridge, Mass., United States","An optimum method of coding an ensemble of messages consisting of a finite number of members is developed. A minimum-redundancy code is one constructed in such a way that the average number of coding digits per message is minimized. Copyright 1952, by The Institute of Radio Engineers, Inc.",,,,,,,,,,,,,,,,,,,"Huffman, D.A.; Massachusetts Institute of Technology, Cambridge, Mass., United States",,,,,,,,00968390,,,,"English","Proc. IRE",Article,"Final","",Scopus,2-s2.0-84938015047
"Milgram S.","","The small world problem",1967,"Psychology Today","2",,,"60","67",,3807,,,,"Milgram, S.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0002687371
"Blau P.M., Duncan O.D.","","The American Occupational Structure",1976,"The American Occupational Structure",,,,"","",,3538,,,,"Blau, P.M.; Duncan, O.D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0004114408
"Turing A.M.","36512022900;","On computable numbers, with an application to the entscheidungsproblem",1937,"Proceedings of the London Mathematical Society","s2-42","1",,"230","265",,3386,"10.1112/plms/s2-42.1.230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960561455&doi=10.1112%2fplms%2fs2-42.1.230&partnerID=40&md5=b1b5cc97fee9501ebdf1eab76fb96ba7","The Graduate College, Princeton University, NJ, United States","Turing, A.M., The Graduate College, Princeton University, NJ, United States",[No abstract available],,,,,,,,,,,,,,,,,,,"Turing, A.M.; The Graduate College, , NJ, United States",,,,,,,,00246115,,,,"English","Proc. Lond. Math. Soc.",Article,"Final","",Scopus,2-s2.0-84960561455
"Roache P.J.","",[No title available],1976,"Computational Fluid Dynamics",,,,"","",,3299,,,,"Roache, P.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003537973
"Flyvbjerg B.","",[No title available],2001,"Making Social Science Matter",,,,"","",,3254,,,,"Flyvbjerg, B.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003495310
"Wardrop J.G.","","Some theoretical aspects of road traffic research",1952,"Proceedings of the Institute of Civil Engineers","1","PART 2",,"325","378",,2954,,,,"Wardrop, J.G.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003310913
"Pielou E.C.","",[No title available],1969,"An Introduction to Mathematical Ecology",,,,"","",,2871,,,,"Pielou, E.C.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003635646
"Tufte E.R.","6506403994;","The visual display of quantitative information.",1983,,,,,"","",197,2853,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-18344405033&partnerID=40&md5=1d38188100dbb2975d50b62a50b85791","Dept Political Science & Statistics, Yale University, New Haven, CT 06520, USA.","Tufte, E.R., Dept Political Science & Statistics, Yale University, New Haven, CT 06520, USA.","A text on the graphical display of quantitative data, using combinations of points, lines, coordinate systems, numbers, symbols, words, shading and colour. The book is divided into two major sections; the first reviews past and present graphical practice, such as thematic mapping, time-series plots, narrative and relational graphics. It also discusses graphical integrity, and miscommunication and distortion. Section two covers a theory of data graphics. This includes considerations of physical tools such as ink, design factors, optical art and perceptual factors, colour usage, information content, aesthetics, text and tables. The volume is illustrated with copious examples from past and present literature.-M.Blakemore",,"graphical display; narrative and relational graphics; quantitative data; thematic mapping; time series plots",,,,,,,,,,,,,,,,,"",,,"(Graphics Press, Box 430, Cheshire, CT 06410, USA), price (hardback) US$34.00",,,,,,,,,"English",,,"Final","",Scopus,2-s2.0-18344405033
"Johnson S.C.","55466672400;","Hierarchical clustering schemes",1967,"Psychometrika","32","3",,"241","254",,2848,"10.1007/BF02289588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014129195&doi=10.1007%2fBF02289588&partnerID=40&md5=6ec63aaf9d54443144b2d94dfc70ad94","Bell Telephone Laboratories, Murray Hill, New Jersey, United States","Johnson, S.C., Bell Telephone Laboratories, Murray Hill, New Jersey, United States","Techniques for partitioning objects into optimally homogeneous groups on the basis of empirical measures of similarity among those objects have received increasing attention in several different fields. This paper develops a useful correspondence between any hierarchical system of such clusters, and a particular type of distance measure. The correspondence gives rise to two methods of clustering that are computationally rapid and invariant under monotonic transformations of the data. In an explicitly defined sense, one method forms clusters that are optimally ""connected,"" while the other forms clusters that are optimally ""compact."" © 1967 Psychometric Society.",,"article; computer; psychometry; Computers; Psychometrics",,,,,,,,,,,,,,,,,"Johnson, S.C.; Bell Telephone Laboratories, Murray Hill, New Jersey, United States",,,"Springer-Verlag",,,,,00333123,,,"5234703","English","Psychometrika",Article,"Final","",Scopus,2-s2.0-0014129195
"Cliff A.D., Ord J.K.","",[No title available],1981,"Spatial Processes: Models and Applications",,,,"","",,2688,,,,"Cliff, A.D.; Ord, J.K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003576338
"Douglas D.H., Peucker T.K.","","Algorithms for the reduction of the number of points required to represent a digitized line or its caricature",1973,"The Canadian Cartographer","10","2",,"112","122",,2620,,,,"Douglas, D.H.; Peucker, T.K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0001489753
"Ripley B.D.","",[No title available],1981,"Spatial Statistics",,,,"","",,2608,,,,"Ripley, B.D.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0003604116
"Chilès J.-P., Delfiner P.","",[No title available],1999,"Geostatistics: Modeling Spatial Uncertainty",,,,"","",,2591,,,,"Chilès, J.-P.; Delfiner, P.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0004297190
"Thompson D.W.","",[No title available],1917,"On Growth and Form",,,,"","",,2455,,,,"Thompson, D.W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003720769
"Rosenblatt M.","","Remarks on some nonparametric estimates of a density function",1956,"Ann. Math. Statist.","27",,,"832","837",,2394,,,,"Rosenblatt, M.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0001529784
