Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
006-971-556-745-586,Introductory Comments on Information Theory and Cartography,1997-06-01,1997,journal article,Cartographic Perspectives,10489053,North American Cartographic Information Society,United States,Waldo R. Tobler,,,27,4,7,Epistemology; Computer science; Information theory,,,,,http://www.cartographicperspectives.org/index.php/journal/article/view/cp27-tobler/741 https://core.ac.uk/download/pdf/229645979.pdf,http://dx.doi.org/10.14714/cp27.698,,10.14714/cp27.698,2014640831,,0,010-423-042-177-734; 012-144-038-449-881; 029-036-632-152-895; 069-154-685-618-677; 178-838-453-135-050; 192-729-793-018-63X,9
007-221-008-615-012,Hybrid neural network for modeling automotive clutches,,1999,,,,,,V. Parvataneni; M. Cao; K. W. Wang; Y. Fujii; W. Tobler,,,,,,Automotive engineering; Hybrid neural network; Clutch; Computer science; Automotive industry,,,,,,,,,2626069154,,0,,5
007-231-040-963-104,Chronische myeloische Leukämie – Update,2004-02-01,2004,journal article,Therapeutische Umschau. Revue therapeutique,00405930,Verlag Hans Huber,Switzerland,null Tobler; null Solenthaler,"Die chronische myeloische Leukamie (CML) ist eine klonale Erkrankung der hamatopoietischen Stammzellen. Die Erforschung der Pathogenese der CML hat in den letzten Jahrzehnten wesentliche Erkenntnisse uber grundlegende molekulare Mechanismen bei der Entstehung von Leukamien gebracht. In dieser Hinsicht darf die CML als Modellerkrankung betrachtet werden. Das Markenzeichen der CML ist das Philadelphia-Chromosom (Ph-Chromosom) mit seinem molekularen Korrelat, dem BCR-ABL Gen bzw. dem BCR ABL Transkript und Protein. Die Diagnose wird aufgrund des peripheren Blutbildes, des Knochenmarks sowie des zytogenetischen Nachweises des Philadelphia-Chromosoms und des BCR-ABL Transkripts in der molekuaren Analyse gestellt. Die Therapie der CML hat in den letzten Jahren Fortschritte gemacht und ist dadurch komplexer geworden. Ein klare Therapiestrategie ist deshalb bereits bei Diagnose festzulegen. Die vorliegende Ubersicht diskutiert auf dem Hintergrund der Kenntnisse uber die Pathogenese die heutigen Therapieoptionen u...",61,2,143,150,,,"Bone Marrow/pathology; Chromosomes, Human, Pair 22; Chromosomes, Human, Pair 9; Cytogenetic Analysis; Diagnosis, Differential; Gene Expression Regulation, Leukemic/genetics; Genes, abl/genetics; Humans; Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis; Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/diagnosis; Prognosis; Translocation, Genetic",,,https://www.ncbi.nlm.nih.gov/pubmed/15018397 https://econtent.hogrefe.com/doi/abs/10.1024/0040-5930.61.2.143,http://dx.doi.org/10.1024/0040-5930.61.2.143,15018397,10.1024/0040-5930.61.2.143,2059545404,,0,,0
007-379-377-627-633,"Vererbung, Konstitution",,1943,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Haagen; null Tobler; null Albanus; null Pohlandt; K. Thums,,53,S1,11,12,,,,,,,http://dx.doi.org/10.1007/bf01621380,,10.1007/bf01621380,,,0,,0
007-435-630-156-884,Drüsen (ekkrine und endokrine),,1944,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Welcker; null Dykstra; null Fehr; null Ostertag; null Tobler; Annelise Schlüter; G. Hegemann,,54,S3,90,92,,,,,,,http://dx.doi.org/10.1007/bf01625078,,10.1007/bf01625078,,,0,,0
007-601-259-001-327,Literatur,,1911,journal article,Zeitschrift für Untersuchung der Nahrungs- und Genußmittel,14382377; 14382385,Springer Science and Business Media LLC,,A. Thiel; W. Sutthoff; null Tobler; J. König; C. Mai,,22,12,761,766,,,,,,,http://dx.doi.org/10.1007/bf02036697,,10.1007/bf02036697,,,0,,0
007-653-705-367-922,Frame independent spatial analysis,1989-12-06,1989,book chapter,The Accuracy Of Spatial Databases,,CRC Press,,Waldo R. Tobler,,,,88,92,Frame (networking); Artificial intelligence; Geography; Computer vision,,,,,https://content.taylorfrancis.com/books/download?dac=C2004-0-10831-9&isbn=9780429208317&doi=10.1201/b12612-22&format=pdf https://www.taylorfrancis.com/books/e/9780429208317/chapters/10.1201/b12612-22,http://dx.doi.org/10.1201/b12612-22,,10.1201/b12612-22,77507483,,0,031-132-947-839-685; 035-665-503-003-18X; 050-221-325-925-742; 057-104-916-773-148; 081-673-402-045-602; 094-745-085-697-026; 108-628-333-203-827; 150-296-712-307-225,73
007-924-123-951-880,Haut,,1942,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,J. Olig; null Tobler; null Voss; Annelise Schlüter,,52,S1,25,26,,,,,,,http://dx.doi.org/10.1007/bf01629946,,10.1007/bf01629946,,,0,,0
008-782-634-221-164,Einzelreferate und Buchbesprechungen,,1922,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null Dessecker; null Körte; null Schmorl; null Fischer; null Hellwig; null Koenigsfeld; null Weigert; null Tobler; null Henning; null Edens; null Rosenow; null Oppenheimer; null Griesbach; null Starkenstein; null Neisse; null Jaffé; null Dietlen; null Frik; null Valentin; null Braun; null Schnabel; null Schmitz; null Seligmann; null Möllers; null Dietrich; null Kisskalt; null Nick; null Mendelsohn; null Eisner-Behrend; null Neisser; null Schlesinger; null Peiper; null Dreyfuss; null Hayward; null Holthusen; null Posner; null Rosenberg; null Israel; null Freudenberg; null Jonas; null Zuntz; null Juliusberg; null Buschke; null Simon; null Meyer; null Vogel; null Goldstein; null Jahnel; null Mendel; null Schittenhelm; null Meesmann; null Steindorff; null Brühl; null Preuss; null Sturmann; null Cohn; null Euler; null Korach; null Weber,,1,6,281,295,,,,,,,http://dx.doi.org/10.1007/bf01713903,,10.1007/bf01713903,,,0,,0
009-100-173-246-355,The Globular Projection Generalized,,1984,journal article,The American Cartographer,00941689,Informa UK Limited,United States,M. Petrich; Waldo R. Tobler,,11,2,101,105,Globular cluster; Map projection; Geometry; Mathematics; Projection (mathematics); Goode homolosine projection,,,,,http://www.tandfonline.com/doi/abs/10.1559/152304084783914803,http://dx.doi.org/10.1559/152304084783914803,,10.1559/152304084783914803,2010089717,,0,,13
009-980-094-141-107,Thirty Five Years of Computer Cartograms,,2004,journal article,Annals of the Association of American Geographers,00045608; 14678306,Informa UK Limited,United Kingdom,Waldo R. Tobler,"The notion of a cartogram is reviewed. Then, based on a presentation from the 1960s, a direct and simple introduction is given to the design of a computer algorithm for the construction of contiguous value-by-area cartograms. As an example, a table of latitude/longitude to rectangular plane coordinates is included for a cartogram of the United States, along with Tissot's measures for this map projection. This is followed by a short review of the subsequent history of the subject and includes citation of algorithms proposed by others. In contrast to the usual geographic map, the most common use of cartograms is solely for the display and emphasis of a geographic distribution. A second use is in analysis, as a nomograph or problem-solving device similar in use to Mercator's projection, or in the transform-solve-invert paradigm. Recent innovations by computer scientists modify the objective and suggest variation similar to Airy's (1861) “balance of errors” idea for map projections.",94,1,58,73,Latitude; Cartogram; Map projection; Subject (documents); Variation (game tree); Mercator projection; Computer science; Projection (mathematics); Cartography; Contrast (statistics),,,,,https://core.ac.uk/display/24718486 https://www.geog.ucsb.edu/~kclarke/Geography232/cartograms_tobler.pdf https://geog.ucsb.edu/%7Ekclarke/G232/ToblerCartograms.pdf https://www.tandfonline.com/doi/full/10.1111/j.1467-8306.2004.09401004.x https://www.jstor.org/stable/3694068 http://onlinelibrary.wiley.com/doi/10.1111/j.1467-8306.2004.09401004.x/full,http://dx.doi.org/10.1111/j.1467-8306.2004.09401004.x,,10.1111/j.1467-8306.2004.09401004.x,2076035893,,1,000-875-682-323-087; 007-260-085-211-347; 009-189-248-386-744; 011-082-236-438-107; 013-614-460-601-607; 015-982-125-022-642; 019-131-914-918-097; 020-738-061-800-260; 021-630-267-801-156; 022-715-568-287-073; 028-704-590-607-349; 029-356-854-920-047; 029-460-003-727-150; 029-622-439-029-969; 031-406-444-718-254; 031-506-636-167-31X; 033-250-328-345-504; 034-928-857-051-862; 036-350-024-848-281; 036-803-272-325-681; 041-550-390-488-121; 048-875-079-551-220; 053-370-015-184-131; 056-627-101-639-999; 059-452-640-417-591; 060-416-405-050-889; 060-955-914-311-154; 064-314-773-649-412; 065-875-482-824-520; 070-290-974-764-234; 071-626-530-952-886; 072-934-609-934-032; 074-270-170-822-563; 074-371-739-574-545; 074-751-152-415-400; 081-673-402-045-602; 081-838-454-061-172; 083-098-287-618-392; 086-543-105-761-975; 091-297-859-492-230; 098-529-539-733-941; 100-387-406-330-080; 101-516-802-884-389; 102-633-212-221-672; 105-914-052-204-573; 110-890-241-232-239; 111-740-122-033-23X; 111-953-891-019-669; 112-197-476-857-601; 117-494-526-434-15X; 121-319-610-498-750; 125-317-479-497-66X; 126-603-825-019-307; 128-241-150-363-376; 140-799-083-468-051; 143-197-026-662-828; 145-333-608-187-576; 153-834-722-201-47X; 157-798-399-846-664; 158-355-644-218-260; 163-142-379-307-183; 163-861-745-445-692; 179-180-436-728-311; 180-621-949-360-176; 181-406-717-861-283; 182-947-791-835-559; 188-144-459-326-700,193
010-464-858-271-898,Magen,,1942,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Dykstra; null Tölken; null Tobler; null Braunbehrens; null Ruge,,52,S5,361,362,,,,,,,http://dx.doi.org/10.1007/bf01629991,,10.1007/bf01629991,,,0,,0
010-893-113-336-357,Einzelreferate und Buchbesprechungen,,1930,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,F. Blumenthal; A. Loewy; null Dresel; null Koenigsfeld; H. Hirschfeld; null Nonnenbruch; null Tobler; null Wohlwill; H. Hoesslin; null SchÜbel; null Oppenheimer; null Riebkling; Martin Mayer; null Lewy; null Eckstein; Paul Glässner; null Huebschmann; null Weigert; null Eisner-Behrend; null Gottschalk; null Edens; null Valentin; K. Hirschfeld; null Oberniedermayr; null Becker; null Herzfeld; null Kraas; null Versé; null Rosenow; null Freudenberg; null Kleinschmidt,,9,40,1880,1888,,,,,,,http://dx.doi.org/10.1007/bf01737869,,10.1007/bf01737869,,,0,,0
011-357-135-708-753,"City Sizes, Morphology and Interaction",,1975,,,,,,Waldo R. Tobler,,,,,,Morphology (linguistics); Geography; Chemical engineering,,,,,http://pure.iiasa.ac.at/id/eprint/410/,http://pure.iiasa.ac.at/id/eprint/410/,,,2316184265,,0,,2
011-645-776-794-395,Einzelreferate und Buchbesprechungen,,1930,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,L. Lichtwitz; null Finkenrath; null Siebeck; J. Bauer; G. Katsch; null Wohlwill; null Koenigsfeld; null Tobler; H. Hirschfeld; null Edens; null Vaternahm; G. Liebermeister; null Dietlen; null Deusch; null Zinn; null Assmann; null Herzfeld; null Grassheim; null Holthusen; C. Noorden; null Bernhardt; null Gottschalk; null Meltzer; O. Wiener; null Jonas; W. Israel; null Dietrich; null Schumacher; Alfred Klopstock; Erich Langer; null Jaffe; null Buschke; null Simon; K. Hirschfeld; O. Hübner; null Artelt,,9,8,368,377,,,,,,,http://dx.doi.org/10.1007/bf01728131,,10.1007/bf01728131,,,0,,0
013-407-151-308-640,Push-pull migration laws,,1983,journal article,Annals of the Association of American Geographers,00045608; 14678306,Informa UK Limited,United Kingdom,Guido Dorigo; Waldo R. Tobler,"ABSTRACT The mathematics of a push-pull model are shown to incorporate many of Ravenstein's laws of migration, to be equivalent to a quadratic transportation problem, and to be related to the mathematics of classical continuous-flow models. These results yield an improved class of linear spatial interaction models. Empirical results are presented for one country.",73,1,1,17,Quadratic equation; Class (set theory); Mathematical economics; Law; Internal migration; Population; Spatial interaction; Transportation theory; Mathematics; Yield (finance); Quadratic programming,,,,,https://www.researchgate.net/profile/Guido_Dorigo/publication/200820374_Push-pull_migration_laws/links/54bd64360cf218d4a16a27bd.pdf https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8306.1983.tb01392.x https://www.tandfonline.com/doi/abs/10.1111/j.1467-8306.1983.tb01392.x,http://dx.doi.org/10.1111/j.1467-8306.1983.tb01392.x,,10.1111/j.1467-8306.1983.tb01392.x,2057058618,,0,000-297-158-537-255; 002-455-602-950-673; 005-797-202-115-707; 007-145-329-042-751; 015-438-164-164-134; 016-217-733-871-195; 017-224-017-339-765; 018-681-844-326-634; 020-497-091-941-502; 021-787-297-437-362; 023-467-789-739-260; 027-348-937-703-387; 028-450-685-959-200; 029-533-220-278-210; 032-445-968-601-75X; 035-509-626-383-683; 039-286-542-482-270; 040-129-567-301-17X; 041-658-614-339-032; 041-880-471-160-840; 042-591-967-180-517; 047-519-222-638-840; 049-588-174-907-031; 056-061-582-399-147; 056-256-804-075-050; 057-672-337-587-776; 057-699-463-348-004; 058-669-997-024-134; 059-536-584-773-361; 060-303-615-333-085; 060-380-576-844-69X; 060-397-321-372-791; 061-658-366-138-367; 065-268-364-314-824; 067-280-518-231-71X; 068-001-899-598-495; 070-183-084-816-30X; 072-399-498-005-932; 073-816-860-257-341; 073-941-283-869-155; 074-059-960-322-471; 074-545-164-214-043; 075-838-076-532-055; 081-574-018-341-26X; 089-793-544-797-25X; 092-074-230-876-50X; 096-709-336-275-51X; 098-588-288-467-297; 100-075-567-817-866; 103-323-240-236-129; 105-441-855-867-891; 108-037-242-472-672; 112-910-503-194-26X; 114-585-177-520-897; 118-504-481-134-77X; 119-855-473-224-784; 124-313-065-881-19X; 125-087-691-262-939; 152-428-043-509-501; 155-377-745-647-425; 160-003-977-166-836; 161-756-476-557-006; 188-995-311-003-230; 195-222-562-441-090; 196-848-947-395-153; 198-305-930-993-212,219
015-135-170-699-241,Drüsen (ekkrine und endokrine),,1942,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Zavka; null Gerlach; null Braun; null Tobler; Dietrich Blos; G. Hegemann; E. Hegemann; null Fresen; null Sørensen; Arthur Hintze; null Hintze; null Fresen,,53,3-4,241,247,,,,,,,http://dx.doi.org/10.1007/bf02178798,,10.1007/bf02178798,,,0,,0
015-263-048-733-393,Allometric relationships in the structure of street-level databases,,1997,journal article,"Computers, Environment and Urban Systems",01989715,Elsevier BV,United Kingdom,Howard Veregin; Waldo R. Tobler,,21,3-4,277,290,Regression analysis; Polygon; Spatial database; Geography; Shortest path problem; File size; Street network; Digital data; Population; Database,,,,,https://www.sciencedirect.com/science/article/pii/S0198971597000124 http://www.sciencedirect.com/science/article/pii/S0198971597000124,http://dx.doi.org/10.1016/s0198-9715(97)00012-4,,10.1016/s0198-9715(97)00012-4,2042765279,,0,009-781-764-423-372; 012-196-479-210-395; 013-377-151-089-658; 025-055-960-383-850; 040-926-040-220-447; 046-222-515-962-130; 046-943-580-019-501; 052-236-751-217-057; 052-650-253-888-951; 055-541-582-002-003; 063-480-580-904-250; 075-489-909-616-083; 080-955-382-538-088; 135-269-448-655-396; 140-171-631-095-863,5
015-873-167-998-51X,"Niere, Blase",,1941,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Ruckensteiner; null Veer; null Schweizer; null Merten; null Eggert; null Lenkeit; null Tobler; null Friedrich; null Boden; null Stahnke,,51,S2,230,235,,,,,,,http://dx.doi.org/10.1007/bf01621368,,10.1007/bf01621368,,,0,,0
016-248-014-460-615,Zur Frage der Leukocidinproduktion durch die pyogenen Staphylokokken und über den Antileukocidingehalt des Säuglings- und Mutterserums,1924-03-01,1924,journal article,European Journal of Pediatrics,03406199; 14321076,Springer Verlag,Germany,W. Tobler,,37,5,354,360,Gynecology; Medicine,,,,,https://link.springer.com/article/10.1007/BF02225387,https://link.springer.com/article/10.1007/BF02225387,,,2027288447,,0,,0
016-383-906-303-481,A new companion for Mercator,2017-03-31,2017,journal article,Cartography and Geographic Information Science,15230406; 15450465,Informa UK Limited,United Kingdom,Waldo R. Tobler,"ABSTRACTThe inappropriate use of the Mercator projection has declined but still occasionally occurs. One method of contrasting the Mercator projection is to present an alternative in the form of an equal area projection. The map projection derived here is thus not simply a pretty Christmas tree ornament: it is instead a complement to Mercator’s conformal navigation anamorphose and can be displayed as an alternative. The equations for the new map projection preserve the latitudinal stretching of the Mercator while adjusting the longitudinal spacing. This allows placement of the new map adjacent to that of Mercator. The surface area, while drastically warped, maintains the correct magnitude.",45,3,284,285,Sinusoidal projection; Transverse Mercator projection; Miller cylindrical projection; Map projection; Geography; Geometry; Mercator projection; Universal Transverse Mercator coordinate system; Cassini projection; Goode homolosine projection,,,,Waldo R Tobler,https://www.tandfonline.com/doi/full/10.1080/15230406.2017.1308837 https://doi.org/10.1080/15230406.2017.1308837,http://dx.doi.org/10.1080/15230406.2017.1308837,,10.1080/15230406.2017.1308837,2601929278,,0,079-426-515-217-896,3
