"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JLV2KRHL","journalArticle","2012","Unknown","Geographer Hall of Fame – Waldo Tobler","Geographical Perspectives","","","","https://www.justinholman.com/2012/06/19/geographer-hall-of-fame-waldo-tobler/","One of the things in our culture that makes me sick to my stomach is the celebrity worship.  Everyone knows all the personal details and career history of all the top actors, actresses, musicians, models, athletes, and other performers.  But, n [...]","2012","2020-06-01 13:32:50","2021-02-12 20:50:18","","1 page web","","Comments","","","","","","","","","","","","","","","","www.justinholman.com","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBK276R5","journalArticle","2013","URISA","Waldo Tobler, winner 2016","URISA's GIS Hall of Fame","","","","http://urisa.maps.arcgis.com/apps/MapSeries/index.html?appid=5c945e41c5b146c09c7ba6f9991b623","","2013","2020-06-01 13:30:13","2021-02-12 20:50:17","","","","","","","","","","","","","","","en","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANPL4QBD","journalArticle","2018","Cauvin-Reymond, Colette","Waldo Tobler (1930-2018)","Cybergeo Conversation","","","","https://cybergeo.hypotheses.org/230","","2018","2020-06-03 12:27:46","2021-02-12 20:50:12","","","","","","","","","","","","","","","en français","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFASVWGF","journalArticle","2019","Frančulaand, N.; Lapain, M.","Waldo Tobler (1930-2018). In memoriam","KiG (Cartography and Geoinformation),Zagreb (Croatie)","","","","https://kig.kartografija.hr/index.php/kig/article/view/821/1516,","","2019","2020-06-03 12:53:55","2021-02-12 20:50:10","","","","29","17","","","","","","","","","","Croate En","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UU3DXC3A","journalArticle","2019","Monmonnier, M. S.","Waldo R. Tobler (1930–2018)","Imago Mundi","","","10/gh2tsw","https://doi.org/10.1080/03085694.2019.1529916","","2019","2020-06-03 12:59:19","2021-02-12 20:50:09","","87-88","","1","71","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXNQHAP5","journalArticle","2002","McMaster, R.; McMaster, S.","A History of Twentieth-Century American Academic Cartography","Cartography and Geographic Information Science","","","10/c23mzt","https://www.tandfonline.com/doi/abs/10.1559/152304002782008486","The academic discipline of cartography is a twentieth-century phenomenon. From its incipient roots in landscape representation in geology and the mapping of socio-economic data in geography, it grew into its own sub-discipline with graduate programs, research paradigms, and a scientific literature of its own. It came close to establishing a national center for cartography In the late 1960s. After rather sporadic activity before World War II, the period from 1946 to 1986 saw the building of major graduate programs at the universities of Wisconsin, Kansas, and Washington. Other programs were created, often with the doctoral students from those three. At the end of the twentieth century, cartography underwent significant changes in relation to the emerging discipline of geographic information science. The future for academic cartography is less certain, as graduate programs adjust the balances among the many components of mapping science, including cartography, geovisualization, GI science, GIS systems, spatial analysis/statistics, and remote sensing.","2002","2020-06-03 13:03:51","2021-02-12 20:50:08","","305-321","","3","29","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVD47D93","book","","","","","","","","","","","2020-06-10 15:20:00","2020-06-10 15:20:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4W2KV24X","presentation","2007","Grasland, Claude","Global City revisited by Tobler's first law of géography","","","","","","This paper propose to examine if Waldo Tobler’s first law of geography “ everything is related to everything else, but near things are more related than distant things” (Tobler, 1970) is still valid in a global world where many authors consider that distance in general and physical distance in particular are less and less important for the understanding of economic, political and social dynamics. Focusing on a “space of flows” rather than a “space of places” as it is proposed by many authors in their research on Global City does not mean that physical distance has to be  excluded from spatial interaction models, on the contrary.  We propose to explore a variant  of Tobler’s classical model of spatial interaction  - .(Fij.Dij) = Ai + Bj -  in order to demonstrate that the “movement” (product of flows by physical distance) is a much more interesting factor for the description of interaction between cities than the classical amount of flows. The advantage of this new formulation are both conceptual, methodological and empirical as it is demonstrated by an application to the air flows between world cities in 2000.  A new organization of the network of world cities according to air flows is elaborated which is more complex and less hierarchical than the one proposed in previous works. The paradox of the demonstration is that the introduction of distance support much more the assumption of a multipolarised and interlinked world than  usual works based on the location of global firms or the analysis of flows  non weighted by distance.","2007","2020-06-05 12:01:27","2020-06-05 12:04:47","","","","","","","","","","","","","","Montreux 'Suisse)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15TH European Colloquium on Theoretical and Quantitative Geography","","","","","","","","","","","","","","","",""
"GN3WUQW8","bookSection","2009","Grasland, Claude","Spatial analysis of social facts. A tentative theoretical framework  derived from Tobler’s first law of geography  and Blau’s multilevel structural theory of society","Handbook of Quantitative Geography","","","","https://halshs.archives-ouvertes.fr/halshs-00410669","This document presents an attempt to build a theoretical framework for the spatial analysis of social facts, derived from Tobler's first law of geography (‘Everything is related to everything else, but near things are more related than distant things') and Blau's theory of macro sociology and multilevel structural analysis. At individual level four basic times of position and interaction are defined (geographical/sociological and discrete/continuous). It is then necessary to discuss the effects of scale aggregation and time dynamics on the elementary levels of position and interaction. This part is illustrated by examples about airflows between world cities in 2000 and euro coins diffusion across borders between 2002 and 2007.","2009","2020-06-05 11:53:21","2020-06-05 11:59:55","","46 p.","","","","","","","","","","","University of Lausanne","Lausanne","en","","","","","","","","","","","","","Bavaud, F.; Mager, C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP9IQKFJ","journalArticle","2004","Barnes, Trevor J.","A Paper Related to Everything but More Related to Local Things","Annals of the Association of American Geographers","","0004-5608","10/bxjxmn","https://doi.org/10.1111/j.1467-8306.2004.09402004.x","CC-L'auteur discute des éléments de base des lois et tente de restaurer les contextes historiques et locaux qui ont nourri Tobler lorsqu'il a écrit cette loi. Barnes rejette l'universalité des lois et estime au contraire que toutes les lois universelles sont nécessairement des connaissances locales déguisées. La TFL est pour lui une connaissance locale.","2004-06-01","2020-06-01 12:55:13","2021-02-09 13:40:44","2020-06-01 12:55:13","278-283","","2","94","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402004.x","","C:\Users\cplume01\Zotero\storage\DFRECG8R\j.1467-8306.2004.09402004.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W234834T","journalArticle","2018","Dorling, Danny; Hennig, Benjamin","Waldo Tobler: Remembering a genius","The Cartographic Journal","","0008-7041","10/ghz78c","https://doi.org/10.1080/00087041.2018.1507181","","2018-07-03","2020-06-01 12:42:11","2021-02-09 13:40:44","2020-06-01 12:42:11","303-304","","3","55","","","Waldo Tobler","","","","","","","en","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/00087041.2018.1507181","","C:\Users\cplume01\Zotero\storage\JXRIPTF6\Dorling et Hennig - 2018 - Waldo Tobler Remembering a genius.pdf; C:\Users\cplume01\Zotero\storage\MFDKPYTA\00087041.2018.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKURNVY6","journalArticle","2018","Clarke, Keith C.","Waldo R. Tobler (1930–2018)","Cartography and Geographic Information Science","","1523-0406","10/gc95p4","https://doi.org/10.1080/15230406.2018.1447399","","2018-07-04","2020-06-01 12:40:45","2021-02-09 13:40:44","2020-06-01 12:40:45","287-288","","4","45","","","","","","","","","","en","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/15230406.2018.1447399","","C:\Users\cplume01\Zotero\storage\Z44GGU6Z\Clarke - 2018 - Waldo R. Tobler (1930–2018).pdf; C:\Users\cplume01\Zotero\storage\88BF3QHC\15230406.2018.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6MTBGF4","webpage","","","« L’immigration franco-canadienne au Massachusetts Rimber - Recherche Google","","","","","https://www.google.com/search?rlz=1C1CHBF_frFR853FR853&sxsrf=ALeKk00k2ZXhA52aKK1gHZRka0fVak2MmQ%3A1603893636228&ei=hHmZX4nCDcKLlwTy4aCABg&q=%C2%AB+L%E2%80%99immigration+franco-canadienne+au+Massachusetts+Rimber&oq=%C2%AB+L%E2%80%99immigration+franco-canadienne+au+Massachusetts+Rimber&gs_lcp=CgZwc3ktYWIQAzIECCMQJzoECAAQR1CFOViFOWD1PmgAcAJ4AIABVIgBVJIBATGYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwiJlMezudfsAhXCxYUKHfIwCGAQ4dUDCA0&uact=5","","","2020-10-28 14:07:49","2020-10-28 14:08:00","2020-10-28 14:06:15","","","","","","","","","","","","","","","","","","","","","","","C:\Users\cplume01\Zotero\storage\NMTAV488\search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BH237Z3","bookSection","2020","DeMers, M. N.","GIS or Geographic Information Systems","Encyclopaedia Britannica, Computer System,","","","","https://www.britannica.com/technology/GIS","","2020","2020-06-03 13:17:45","2020-06-03 13:24:29","","","","","","","","","GIS COMPUTER SYSTEM","","","","Encyclopaedia Britannica,","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVK8Y5Q7","presentation","2012","UCSB","Kudos to Professor Emeritus Waldo Tobler","","","","","https://geog.ucsb.edu/kudos-to-professor-emeritus-waldo-tobler/","","2012","2020-06-03 13:11:20","2020-06-03 13:16:54","","","","","","","","","","","","","","Santa Barbara (Ca)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BM3UI2L","presentation","2014","The Archaeological Institute of America (AIA)","Waldo Tobler","","","","","https://geog.ucsb.edu/waldo-tobler-receives-the-2014-pomerance-award-for-scientific-contributions-to-archaeology/","UCSB Emeritus Professor of Geography, Waldo Tobler, was given the 2014 AIA Pomerance Award for Scientific Contributions to Archaeology, an award made annually for the past 33 years. Eligibility is not restricted to members of the AIA, and candidates for the medal may be sought internationally with no geographical limitations. The recipient may be a professional or amateur scientist, or a team, whose interdisciplinary work with archaeologists merits recognition. Persons who have received the Gold Medal of the AIA are not excluded from eligibility.","2014","2020-06-03 13:07:31","2020-06-03 13:11:20","","","","","","","","","","","","","","Santa Barbara (Ca)","en","","Award","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pomerance Award for scientific Contributions to Archaeology","","","","","","","","","","","","","","","",""
"N5NKESYY","bookSection","","Hubbart, P.; Kitchin, Rob","Waldo Tobler","Key Thinkers on space and Place","","","","","","","2020-06-03 12:56:45","2020-06-03 12:58:44","","","","","","","","","","","","","Sage","London","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sage Publications, Inc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2NTJLAJ","bookSection","2008","Lan, M.","Analytical Cartography","Encyclopedia of geographic Information Science","","","","http://dx.doi.org/10.4135/9781412953962.n6","","2008","2020-06-03 12:50:29","2020-06-03 12:52:39","","9-10","","","","","","","","","","","Sage","London","en","","","","","","","","","","","","","Kemp, K.K.","","","","","","","","","","","","","","","","","","","Sage Publications, Inc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DAGBQIL","bookSection","2010","Flowerdew, R.","Tobler Waldo (1930--)","Encyclopedia of geography","","","","http://dx.doi.org/10.4135/9781412939591.n1144","","2010","2020-06-03 12:45:26","2020-06-03 12:50:19","","","","","","","","","","","","","","","en","","","","","","","","","","","","","Barney, Waef","","","","","","","","","","","","","","","","","","","Sage Knowledge","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BGJNZVD","presentation","2018","Rivière, Ph.","Les projections hyperelliptiques de Waldo Tobler","","","","","https://visionscarto.net/projections-hyperelliptiques","","2018","2020-06-03 12:43:54","2020-06-03 12:45:26","","","","","","","","","","","","","","","French","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Visionscarto,","","","","","","","","","","","","","","","",""
"ALTNHIZT","bookSection","2005","Slocum, T.; McMaster, R.; Kessler, F. C.; Howard, H. H.","The paradigms of american cartography. Analytical Cartography","Thematic cartography and geography visualization","013229834  978-0132298346","","","","","2005","2020-06-03 12:37:48","2020-06-03 12:43:54","","30-31","","","chapitre 2","","","","","","","","Pearson Prentice Hall,","New Jersey (E-U)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KYWMB4Z","presentation","2020","AAAG group","The Waldo Tobler Distinguished Lecture in GIScience","","","","","http://aag-giss.org/competitions-awards/tobler-lectur","","2020","2020-06-03 12:35:07","2020-06-03 12:37:33","","","","","","","","","","","","","","","","","Specialty Group,","","","","","","<p>Texte sur le web :</p> <p>Texte de cette présentation</p> <p>If any one paradigm within cartography has an “intellectual leader,” it is analytical cartography. Waldo Tobler originated (in the 1960s) and nurtured (in the 1970s and 1980s) the idea of mathematical, transformational, or analytical approach to the subject. Tobler laid out the agenda for an analytical cartography in his seminal 1976 paper, “Analytical Cartography,” published in the American Cartographer. This paper, and Tobler’s ideas, had a profound effect on American academic cartography” (A History of Twentieth Century American Academic Cartography: McMaster, Robert B, Susanna McMaster, American Congress on Surveying and Mapping, Cartography and Geographic Information Science, 29 305-320, 2002).</p> <p>Each year, the AAG Geographic Information Science and Systems Specialty Group and the GIScience Journal Transactions in GIS collaborate to honor the legacy of Waldo Tobler by hosting a sponsored session, “The Waldo Tobler Distinguished Lecture in GIScience”, featuring a leading light in the field of GIScience. Please join AAG-GISS this year for an exciting and informative talk by a driving force in the field of GIScience.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","organisée par An Association of American Geographers Specialty Group","","","","","","","","","","","","","","","",""
"S8NETSAC","presentation","2018","Thoits, S.","Waldo R. Tobler of Santa Barbara, 1930–2018","","","","","www.noozhawk.com/article/ waldo_r._tobler_of_santa_barbara_1930_2018","","2018-03","2020-06-03 12:24:30","2020-06-03 12:26:00","","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Obituaries in Noozhawk News","","","","","","","","","","","","","","","",""
"8SCVXMSZ","presentation","2018","UCSB","Waldo R. Tobler, Geography Professor Emeritus (1930-2018)""","","","","",", https://geog.ucsb.edu/waldo-r-tobler-geography-professor-emeritus-passes-away/","","2018","2020-06-03 12:23:02","2020-06-03 12:24:29","","","","","","","","","","","","","","Santa Barbara (Ca)","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hommage de l'UCSB à Waldo Tobler","","","","","","","","","","","","","","","",""
"SUBNNETP","presentation","2019","Crede, S","Waldo Tobler memorial Session","","","","","https://www.geo.uzh.ch/en/units/giva/news0/ICC2019.html","","2019","2020-06-03 12:19:19","2020-06-03 12:22:16","","","","","","","","","","","","","","Tokyo","en","","Présentation de GIVA (Geographic Information Visualization and Analysis)","","","","","in News, University of Zurich","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The International Cartographic Conference 2019","","","","","","","","","","","","","","","",""
"FZETSZVT","presentation","1999","Dangermond, Jack; Tobler, W. R.","Travaux de W. Tobler dans le domaine des SIG, à l'occasion de la remise du prix ESRI","","","","","https://www.esri.com/news/arcnews/fall99articles/08-drwaldo.html","","1999","2020-06-03 12:15:08","2020-06-03 12:19:19","","","","","","","","","","","","","","","en","","remise de prix et allocution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ArcNews on line","","","","","","","","","","","","","","","",""
"GAU6X49X","presentation","2018","UCSB","Waldo Tobler Memorial Lecture Fund","","","","","https://giving.ucsb.edu/Funds/Give?id=339","","2018","2020-06-03 12:12:42","2020-06-03 12:15:08","","","","","","","","","","","","","","","en","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
